,symbol,datetime,open,high,low,close
0,CSCO,2022-01-03 05:00:00,62.9,63.35,62.5,63.16
1,CSCO,2022-01-04 05:00:00,62.44,62.81,61.11,61.25
2,CSCO,2022-01-05 05:00:00,61.19,61.64,60.25,60.28
3,CSCO,2022-01-06 05:00:00,60.0,61.13,59.91,60.92
4,CSCO,2022-01-07 05:00:00,60.87,61.5,60.67,61.13
5,CSCO,2022-01-10 05:00:00,60.865,61.895,60.52,61.82
6,CSCO,2022-01-11 05:00:00,61.595,62.43,61.44,62.37
7,CSCO,2022-01-12 05:00:00,62.4,62.8175,61.9201,62.12
8,CSCO,2022-01-13 05:00:00,62.08,62.15,61.21,61.5
9,CSCO,2022-01-14 05:00:00,61.4722,61.5,60.94,61.36
10,CSCO,2022-01-18 05:00:00,59.98,60.22,59.49,59.73
11,CSCO,2022-01-19 05:00:00,57.995,59.49,57.78,58.9
12,CSCO,2022-01-20 05:00:00,58.99,59.34,58.02,58.08
13,CSCO,2022-01-21 05:00:00,58.07,58.34,56.61,56.68
14,CSCO,2022-01-24 05:00:00,56.16,57.0,54.87,56.9
15,CSCO,2022-01-25 05:00:00,56.09,56.6851,55.07,56.11
16,CSCO,2022-01-26 05:00:00,56.11,56.45,54.855,55.33
17,CSCO,2022-01-27 05:00:00,55.51,56.53,54.4,54.62
18,CSCO,2022-01-28 05:00:00,54.5,55.66,53.445,55.61
19,CSCO,2022-01-31 05:00:00,55.43,55.86,54.87,55.67
20,CSCO,2022-02-01 05:00:00,55.45,55.5,54.735,55.37
21,CSCO,2022-02-02 05:00:00,55.225,56.315,55.17,56.17
22,CSCO,2022-02-03 05:00:00,55.87,56.15,55.06,55.2
23,CSCO,2022-02-04 05:00:00,54.8935,55.62,54.39,55.15
24,CSCO,2022-02-07 05:00:00,55.33,55.53,54.695,55.17
25,CSCO,2022-02-08 05:00:00,55.06,55.49,54.71,55.34
26,CSCO,2022-02-09 05:00:00,55.82,56.38,55.4826,56.29
27,CSCO,2022-02-10 05:00:00,55.24,56.025,54.74,54.87
28,CSCO,2022-02-11 05:00:00,54.87,55.09,53.77,53.9
29,CSCO,2022-02-14 05:00:00,53.41,53.65,52.7,53.18
30,CSCO,2022-02-15 05:00:00,53.7159,54.3,53.64,54.27
31,CSCO,2022-02-16 05:00:00,54.13,54.44,53.385,54.25
32,CSCO,2022-02-17 05:00:00,55.5,57.06,55.4,55.77
33,CSCO,2022-02-18 05:00:00,55.46,57.69,55.38,57.21
34,CSCO,2022-02-22 05:00:00,56.93,57.14,55.735,56.3
35,CSCO,2022-02-23 05:00:00,56.61,56.99,54.37,54.44
36,CSCO,2022-02-24 05:00:00,54.07,54.83,53.21,54.73
37,CSCO,2022-02-25 05:00:00,54.98,56.22,54.49,56.04
38,CSCO,2022-02-28 05:00:00,55.41,56.0,54.75,55.77
39,CSCO,2022-03-01 05:00:00,55.53,55.85,54.26,54.62
40,CSCO,2022-03-02 05:00:00,54.77,56.38,54.71,56.15
41,CSCO,2022-03-03 05:00:00,56.74,57.0,55.835,56.07
42,CSCO,2022-03-04 05:00:00,55.67,56.895,55.25,56.51
43,CSCO,2022-03-07 05:00:00,56.31,56.44,55.52,55.59
44,CSCO,2022-03-08 05:00:00,55.7,55.86,54.0701,54.4
45,CSCO,2022-03-09 05:00:00,55.64,56.245,55.25,55.92
46,CSCO,2022-03-10 05:00:00,54.4,55.16,53.97,54.71
47,CSCO,2022-03-11 05:00:00,55.29,56.21,54.6,54.69
48,CSCO,2022-03-14 04:00:00,54.73,55.4,53.995,54.3
49,CSCO,2022-03-15 04:00:00,54.42,55.725,54.42,55.6
50,CSCO,2022-03-16 04:00:00,55.93,56.0,54.6,55.81
51,CSCO,2022-03-17 04:00:00,55.49,56.3,55.35,56.17
52,CSCO,2022-03-18 04:00:00,56.03,56.42,55.54,55.97
53,CSCO,2022-03-21 04:00:00,56.06,56.545,55.52,56.0
54,CSCO,2022-03-22 04:00:00,56.36,56.72,56.09,56.17
55,CSCO,2022-03-23 04:00:00,55.9,56.09,54.45,54.48
56,CSCO,2022-03-24 04:00:00,54.67,54.69,53.68,54.5
57,CSCO,2022-03-25 04:00:00,54.605,55.18,54.395,54.97
58,CSCO,2022-03-28 04:00:00,54.8,55.16,54.42,55.14
59,CSCO,2022-03-29 04:00:00,55.67,56.3138,55.04,55.67
60,CSCO,2022-03-30 04:00:00,55.75,56.94,55.59,56.05
61,CSCO,2022-03-31 04:00:00,56.04,56.88,55.72,55.76
62,CSCO,2022-04-01 04:00:00,56.17,56.19,54.885,55.66
63,CSCO,2022-04-04 04:00:00,55.46,56.12,54.99,55.87
64,CSCO,2022-04-05 04:00:00,55.2,55.59,54.665,54.92
65,CSCO,2022-04-06 04:00:00,54.69,54.76,53.8432,54.37
66,CSCO,2022-04-07 04:00:00,54.43,54.85,53.735,54.63
67,CSCO,2022-04-08 04:00:00,54.84,54.91,54.01,54.28
68,CSCO,2022-04-11 04:00:00,53.92,53.95,52.785,52.88
69,CSCO,2022-04-12 04:00:00,51.7,52.9501,51.48,51.82
70,CSCO,2022-04-13 04:00:00,51.84,52.36,51.405,52.15
71,CSCO,2022-04-14 04:00:00,52.08,52.38,51.1207,51.17
72,CSCO,2022-04-18 04:00:00,50.88,51.56,50.8,51.11
73,CSCO,2022-04-19 04:00:00,51.0,51.935,50.92,51.83
74,CSCO,2022-04-20 04:00:00,52.22,53.67,52.15,53.02
75,CSCO,2022-04-21 04:00:00,53.34,53.83,52.73,52.78
76,CSCO,2022-04-22 04:00:00,52.92,52.96,51.29,51.36
77,CSCO,2022-04-25 04:00:00,51.45,51.98,50.54,51.94
78,CSCO,2022-04-26 04:00:00,51.875,51.94,50.87,50.9
79,CSCO,2022-04-27 04:00:00,50.91,51.11,49.245,49.31
80,CSCO,2022-04-28 04:00:00,49.53,50.78,49.205,50.63
81,CSCO,2022-04-29 04:00:00,50.51,50.64,48.87,48.98
82,CSCO,2022-05-02 04:00:00,49.34,49.9144,48.93,49.86
83,CSCO,2022-05-03 04:00:00,49.77,50.36,49.53,49.92
84,CSCO,2022-05-04 04:00:00,50.03,51.655,49.67,51.58
85,CSCO,2022-05-05 04:00:00,51.15,51.21,49.155,49.61
86,CSCO,2022-05-06 04:00:00,49.15,49.835,48.85,49.33
87,CSCO,2022-05-09 04:00:00,49.0,49.42,48.67,48.96
88,CSCO,2022-05-10 04:00:00,49.705,50.235,49.15,49.55
89,CSCO,2022-05-11 04:00:00,49.09,49.64,48.575,48.65
90,CSCO,2022-05-12 04:00:00,48.63,48.78,47.47,48.29
91,CSCO,2022-05-13 04:00:00,48.71,49.63,48.53,49.56
92,CSCO,2022-05-16 04:00:00,49.66,49.66,48.88,49.0
93,CSCO,2022-05-17 04:00:00,49.68,50.72,49.51,50.6
94,CSCO,2022-05-18 04:00:00,50.47,50.47,48.21,48.36
95,CSCO,2022-05-19 04:00:00,43.055,43.93,41.02,41.72
96,CSCO,2022-05-20 04:00:00,41.86,43.0,41.52,42.94
97,CSCO,2022-05-23 04:00:00,43.34,43.82,42.94,43.35
98,CSCO,2022-05-24 04:00:00,43.4,44.06,42.499,43.77
99,CSCO,2022-05-25 04:00:00,43.75,44.42,43.19,44.0
100,CSCO,2022-05-26 04:00:00,44.05,45.5256,44.05,44.99
101,CSCO,2022-05-27 04:00:00,45.12,45.64,44.95,45.62
102,CSCO,2022-05-31 04:00:00,45.27,45.605,44.735,45.05
103,CSCO,2022-06-01 04:00:00,45.55,45.8,44.765,45.23
104,CSCO,2022-06-02 04:00:00,45.18,45.8,44.895,45.79
105,CSCO,2022-06-03 04:00:00,45.55,45.74,45.12,45.25
106,CSCO,2022-06-06 04:00:00,45.603,46.09,45.125,45.33
107,CSCO,2022-06-07 04:00:00,44.82,45.65,44.715,45.57
108,CSCO,2022-06-08 04:00:00,45.45,45.63,44.88,44.92
109,CSCO,2022-06-09 04:00:00,44.83,45.27,44.24,44.26
110,CSCO,2022-06-10 04:00:00,43.8,43.99,43.29,43.49
111,CSCO,2022-06-13 04:00:00,43.06,43.84,42.89,43.24
112,CSCO,2022-06-14 04:00:00,43.63,43.7,42.57,42.91
113,CSCO,2022-06-15 04:00:00,43.37,44.425,43.0999,43.8
114,CSCO,2022-06-16 04:00:00,42.81,43.4099,42.81,43.32
115,CSCO,2022-06-17 04:00:00,43.36,44.0001,43.24,43.39
116,CSCO,2022-06-21 04:00:00,43.805,44.28,43.7,44.14
117,CSCO,2022-06-22 04:00:00,43.47,44.115,43.17,43.57
118,CSCO,2022-06-23 04:00:00,43.41,43.46,42.715,42.93
119,CSCO,2022-06-24 04:00:00,43.44,44.215,43.24,44.1
120,CSCO,2022-06-27 04:00:00,44.29,44.29,43.625,43.77
121,CSCO,2022-06-28 04:00:00,43.91,44.4713,42.99,43.06
122,CSCO,2022-06-29 04:00:00,43.14,43.26,42.6938,42.88
123,CSCO,2022-06-30 04:00:00,42.37,43.14,42.19,42.64
