,symbol,datetime,open,high,low,close
0,HPQ,2022-01-03 05:00:00,37.71,38.165,37.59,38.02
1,HPQ,2022-01-04 05:00:00,38.45,39.49,38.385,39.2
2,HPQ,2022-01-05 05:00:00,39.23,39.645,38.86,38.87
3,HPQ,2022-01-06 05:00:00,38.6,38.955,38.17,38.68
4,HPQ,2022-01-07 05:00:00,38.9,39.02,38.4,38.65
5,HPQ,2022-01-10 05:00:00,38.59,38.975,37.975,38.96
6,HPQ,2022-01-11 05:00:00,38.99,39.2,38.6558,39.19
7,HPQ,2022-01-12 05:00:00,39.37,39.65,38.905,38.99
8,HPQ,2022-01-13 05:00:00,39.15,39.335,38.645,38.7
9,HPQ,2022-01-14 05:00:00,38.165,38.52,37.96,38.42
10,HPQ,2022-01-18 05:00:00,38.01,38.34,37.54,37.63
11,HPQ,2022-01-19 05:00:00,37.78,38.03,36.55,36.6
12,HPQ,2022-01-20 05:00:00,36.7,37.24,36.03,36.11
13,HPQ,2022-01-21 05:00:00,36.0,36.1,34.79,34.86
14,HPQ,2022-01-24 05:00:00,34.295,35.65,34.145,35.62
15,HPQ,2022-01-25 05:00:00,34.96,35.39,33.61,34.98
16,HPQ,2022-01-26 05:00:00,35.685,36.195,34.835,35.23
17,HPQ,2022-01-27 05:00:00,36.0,36.4593,34.9931,35.21
18,HPQ,2022-01-28 05:00:00,35.19,36.325,34.91,36.3
19,HPQ,2022-01-31 05:00:00,36.12,36.81,35.92,36.73
20,HPQ,2022-02-01 05:00:00,36.86,37.48,36.73,37.46
21,HPQ,2022-02-02 05:00:00,37.53,38.225,37.53,38.16
22,HPQ,2022-02-03 05:00:00,37.87,38.44,37.665,37.72
23,HPQ,2022-02-04 05:00:00,37.49,37.99,37.005,37.6
24,HPQ,2022-02-07 05:00:00,37.54,37.74,37.15,37.49
25,HPQ,2022-02-08 05:00:00,37.5,38.1,37.25,38.0
26,HPQ,2022-02-09 05:00:00,38.17,38.5,37.8,38.4
27,HPQ,2022-02-10 05:00:00,38.0,39.07,37.9,38.11
28,HPQ,2022-02-11 05:00:00,38.11,38.4,37.12,37.33
29,HPQ,2022-02-14 05:00:00,37.26,37.31,36.05,36.51
30,HPQ,2022-02-15 05:00:00,36.9,37.4,36.73,37.37
31,HPQ,2022-02-16 05:00:00,37.07,38.05,37.07,37.89
32,HPQ,2022-02-17 05:00:00,37.43,37.75,36.385,36.42
33,HPQ,2022-02-18 05:00:00,36.44,36.765,35.985,36.2
34,HPQ,2022-02-22 05:00:00,36.05,36.22,34.6223,35.19
35,HPQ,2022-02-23 05:00:00,35.52,35.67,34.385,34.54
36,HPQ,2022-02-24 05:00:00,33.35,34.575,33.04,34.53
37,HPQ,2022-02-25 05:00:00,34.0,34.69,33.225,34.45
38,HPQ,2022-02-28 05:00:00,34.29,34.67,33.53,34.36
39,HPQ,2022-03-01 05:00:00,34.21,35.3,33.71,34.07
40,HPQ,2022-03-02 05:00:00,34.84,36.5868,34.785,36.31
41,HPQ,2022-03-03 05:00:00,36.33,36.79,36.005,36.62
42,HPQ,2022-03-04 05:00:00,36.32,36.505,35.627,36.35
43,HPQ,2022-03-07 05:00:00,36.05,36.18,35.12,35.66
44,HPQ,2022-03-08 05:00:00,35.55,36.61,35.305,35.63
45,HPQ,2022-03-09 05:00:00,36.4,36.6,35.59,36.05
46,HPQ,2022-03-10 05:00:00,35.7,36.17,35.09,36.15
47,HPQ,2022-03-11 05:00:00,36.21,36.7501,35.46,36.29
48,HPQ,2022-03-14 04:00:00,35.97,36.56,33.75,34.1
49,HPQ,2022-03-15 04:00:00,34.01,35.19,33.86,34.86
50,HPQ,2022-03-16 04:00:00,35.27,35.82,34.77,35.81
51,HPQ,2022-03-17 04:00:00,35.4,35.43,33.74,34.49
52,HPQ,2022-03-18 04:00:00,34.77,37.59,34.16,37.09
53,HPQ,2022-03-21 04:00:00,36.9,37.75,36.72,37.54
54,HPQ,2022-03-22 04:00:00,37.97,38.525,37.39,38.23
55,HPQ,2022-03-23 04:00:00,37.9,38.795,37.72,37.73
56,HPQ,2022-03-24 04:00:00,37.85,38.75,37.79,38.53
57,HPQ,2022-03-25 04:00:00,38.41,39.84,38.41,39.84
58,HPQ,2022-03-28 04:00:00,38.36,39.09,37.59,38.75
59,HPQ,2022-03-29 04:00:00,39.17,39.87,38.68,39.72
60,HPQ,2022-03-30 04:00:00,39.73,40.365,38.74,38.84
61,HPQ,2022-03-31 04:00:00,36.97,37.09,35.81,36.3
62,HPQ,2022-04-01 04:00:00,36.13,36.6,34.995,35.6
63,HPQ,2022-04-04 04:00:00,35.78,36.68,35.725,36.64
64,HPQ,2022-04-05 04:00:00,36.24,36.75,35.83,36.0
65,HPQ,2022-04-06 04:00:00,35.55,35.74,34.465,34.91
66,HPQ,2022-04-07 04:00:00,39.03,41.47,38.7,40.06
67,HPQ,2022-04-08 04:00:00,39.11,40.165,38.275,38.63
68,HPQ,2022-04-11 04:00:00,38.44,39.22,38.02,38.19
69,HPQ,2022-04-12 04:00:00,38.53,39.54,37.75,37.89
70,HPQ,2022-04-13 04:00:00,37.72,38.2,37.69,37.94
71,HPQ,2022-04-14 04:00:00,37.95,38.09,37.45,37.47
72,HPQ,2022-04-18 04:00:00,37.54,38.68,37.53,38.43
73,HPQ,2022-04-19 04:00:00,38.47,38.87,38.24,38.69
74,HPQ,2022-04-20 04:00:00,38.99,39.78,38.985,39.38
75,HPQ,2022-04-21 04:00:00,39.24,39.51,38.22,38.29
76,HPQ,2022-04-22 04:00:00,38.12,38.12,36.75,36.79
77,HPQ,2022-04-25 04:00:00,36.6,37.05,36.22,37.0
78,HPQ,2022-04-26 04:00:00,36.78,37.25,36.33,36.34
79,HPQ,2022-04-27 04:00:00,36.4,37.1612,36.09,36.45
80,HPQ,2022-04-28 04:00:00,36.97,37.925,36.62,37.58
81,HPQ,2022-04-29 04:00:00,37.36,38.205,36.56,36.63
82,HPQ,2022-05-02 04:00:00,36.62,37.07,36.01,37.06
83,HPQ,2022-05-03 04:00:00,36.95,38.16,36.88,37.92
84,HPQ,2022-05-04 04:00:00,38.12,39.52,37.64,39.39
85,HPQ,2022-05-05 04:00:00,38.93,39.1,37.505,37.91
86,HPQ,2022-05-06 04:00:00,37.35,37.65,36.32,37.09
87,HPQ,2022-05-09 04:00:00,36.16,37.22,36.13,37.01
88,HPQ,2022-05-10 04:00:00,37.86,38.775,37.42,37.54
89,HPQ,2022-05-11 04:00:00,37.17,37.73,35.79,35.86
90,HPQ,2022-05-12 04:00:00,35.58,36.37,35.0,35.84
91,HPQ,2022-05-13 04:00:00,36.14,36.995,35.97,36.78
92,HPQ,2022-05-16 04:00:00,36.89,37.855,36.43,37.51
93,HPQ,2022-05-17 04:00:00,38.38,39.7066,38.2,39.62
94,HPQ,2022-05-18 04:00:00,39.0,39.02,36.71,36.85
95,HPQ,2022-05-19 04:00:00,36.37,36.63,35.07,35.73
96,HPQ,2022-05-20 04:00:00,35.76,35.83,33.45,34.65
97,HPQ,2022-05-23 04:00:00,34.77,35.13,34.1655,35.06
98,HPQ,2022-05-24 04:00:00,34.77,34.865,33.89,34.77
99,HPQ,2022-05-25 04:00:00,34.53,36.065,34.39,35.57
100,HPQ,2022-05-26 04:00:00,35.73,36.955,35.52,36.77
101,HPQ,2022-05-27 04:00:00,38.0,39.14,38.0,38.75
102,HPQ,2022-05-31 04:00:00,38.69,39.505,38.26,38.84
103,HPQ,2022-06-01 04:00:00,39.76,40.79,39.045,40.34
104,HPQ,2022-06-02 04:00:00,39.91,40.2,39.21,39.89
105,HPQ,2022-06-03 04:00:00,39.35,40.28,39.27,39.81
106,HPQ,2022-06-06 04:00:00,40.07,40.59,39.285,39.52
107,HPQ,2022-06-07 04:00:00,38.88,39.47,38.575,39.36
108,HPQ,2022-06-08 04:00:00,39.01,39.01,37.855,37.95
109,HPQ,2022-06-09 04:00:00,37.84,38.119,36.655,36.67
110,HPQ,2022-06-10 04:00:00,35.89,36.23,35.25,35.28
111,HPQ,2022-06-13 04:00:00,34.4,34.68,33.6,33.76
112,HPQ,2022-06-14 04:00:00,33.9,34.13,33.36,33.75
113,HPQ,2022-06-15 04:00:00,34.26,34.94,33.87,34.41
114,HPQ,2022-06-16 04:00:00,33.65,33.67,32.305,32.71
