,symbol,datetime,open,high,low,close
0,NOK,2022-01-03 05:00:00,6.32,6.33,6.23,6.29
1,NOK,2022-01-04 05:00:00,6.3,6.31,6.22,6.25
2,NOK,2022-01-05 05:00:00,6.26,6.34,6.125,6.14
3,NOK,2022-01-06 05:00:00,6.09,6.16,6.02,6.12
4,NOK,2022-01-07 05:00:00,6.15,6.19,6.075,6.1
5,NOK,2022-01-10 05:00:00,6.08,6.18,6.04,6.17
6,NOK,2022-01-11 05:00:00,6.14,6.26,6.1041,6.24
7,NOK,2022-01-12 05:00:00,6.19,6.22,6.07,6.09
8,NOK,2022-01-13 05:00:00,6.01,6.04,5.88,5.89
9,NOK,2022-01-14 05:00:00,5.87,5.93,5.81,5.93
10,NOK,2022-01-18 05:00:00,5.88,5.88,5.735,5.75
11,NOK,2022-01-19 05:00:00,5.8,5.84,5.72,5.74
12,NOK,2022-01-20 05:00:00,5.75,5.8,5.63,5.63
13,NOK,2022-01-21 05:00:00,5.61,5.69,5.51,5.51
14,NOK,2022-01-24 05:00:00,5.4,5.51,5.26,5.49
15,NOK,2022-01-25 05:00:00,5.52,5.63,5.47,5.57
16,NOK,2022-01-26 05:00:00,5.7,5.71,5.51,5.58
17,NOK,2022-01-27 05:00:00,5.64,5.69,5.55,5.59
18,NOK,2022-01-28 05:00:00,5.63,5.72,5.5125,5.72
19,NOK,2022-01-31 05:00:00,5.8,5.93,5.79,5.9
20,NOK,2022-02-01 05:00:00,5.92,5.95,5.86,5.94
21,NOK,2022-02-02 05:00:00,5.95,6.0,5.93,5.97
22,NOK,2022-02-03 05:00:00,5.84,5.91,5.72,5.72
23,NOK,2022-02-04 05:00:00,5.73,5.78,5.66,5.71
24,NOK,2022-02-07 05:00:00,5.65,5.77,5.65,5.73
25,NOK,2022-02-08 05:00:00,5.67,5.72,5.66,5.69
26,NOK,2022-02-09 05:00:00,5.73,5.77,5.7147,5.77
27,NOK,2022-02-10 05:00:00,5.665,5.77,5.63,5.65
28,NOK,2022-02-11 05:00:00,5.67,5.74,5.52,5.54
29,NOK,2022-02-14 05:00:00,5.48,5.5,5.36,5.43
30,NOK,2022-02-15 05:00:00,5.51,5.62,5.51,5.6
31,NOK,2022-02-16 05:00:00,5.74,5.85,5.74,5.84
32,NOK,2022-02-17 05:00:00,5.74,5.78,5.62,5.65
33,NOK,2022-02-18 05:00:00,5.69,5.71,5.61,5.66
34,NOK,2022-02-22 05:00:00,5.51,5.595,5.4416,5.51
35,NOK,2022-02-23 05:00:00,5.56,5.58,5.37,5.38
36,NOK,2022-02-24 05:00:00,5.13,5.4,5.12,5.39
37,NOK,2022-02-25 05:00:00,5.44,5.49,5.41,5.44
38,NOK,2022-02-28 05:00:00,5.34,5.42,5.27,5.35
39,NOK,2022-03-01 05:00:00,5.29,5.305,5.14,5.18
40,NOK,2022-03-02 05:00:00,5.23,5.365,5.18,5.33
41,NOK,2022-03-03 05:00:00,5.15,5.17,4.94,4.96
42,NOK,2022-03-04 05:00:00,4.75,4.8499,4.74,4.8
43,NOK,2022-03-07 05:00:00,4.76,4.7799,4.51,4.53
44,NOK,2022-03-08 05:00:00,4.72,4.82,4.61,4.71
45,NOK,2022-03-09 05:00:00,4.9,4.959,4.84,4.91
46,NOK,2022-03-10 05:00:00,4.86,4.9199,4.8,4.85
47,NOK,2022-03-11 05:00:00,4.96,4.98,4.81,4.81
48,NOK,2022-03-14 04:00:00,5.05,5.1,4.98,5.02
49,NOK,2022-03-15 04:00:00,5.07,5.1,5.02,5.1
50,NOK,2022-03-16 04:00:00,5.24,5.26,5.1,5.26
51,NOK,2022-03-17 04:00:00,5.27,5.33,5.24,5.32
52,NOK,2022-03-18 04:00:00,5.22,5.34,5.22,5.33
53,NOK,2022-03-21 04:00:00,5.33,5.36,5.26,5.3
54,NOK,2022-03-22 04:00:00,5.36,5.39,5.32,5.37
55,NOK,2022-03-23 04:00:00,5.31,5.34,5.25,5.28
56,NOK,2022-03-24 04:00:00,5.3,5.36,5.28,5.34
57,NOK,2022-03-25 04:00:00,5.33,5.38,5.305,5.37
58,NOK,2022-03-28 04:00:00,5.365,5.4,5.32,5.39
59,NOK,2022-03-29 04:00:00,5.56,5.5757,5.47,5.53
60,NOK,2022-03-30 04:00:00,5.55,5.595,5.53,5.53
61,NOK,2022-03-31 04:00:00,5.52,5.54,5.46,5.46
62,NOK,2022-04-01 04:00:00,5.53,5.55,5.48,5.55
63,NOK,2022-04-04 04:00:00,5.565,5.59,5.55,5.59
64,NOK,2022-04-05 04:00:00,5.56,5.57,5.5,5.52
